ID	Producto	Precio Estimado (MXN)	Categoría
1	Arroz Verde Valle 1kg	$36.00	Despensa Basica
2	Frijol Negro Isadora 500g	$32.00	Despensa Basica
3	Azucar Zulka 1kg	$38.00	Despensa Basica
4	Aceite Nutrioli 1L	$45.00	Despensa Basica
5	Sal La Fina 1kg	$21.00	Despensa Basica
6	Harina Maseca 1kg	$28.00	Despensa Basica
7	Pasta Barilla Spaghetti 500g	$22.00	Despensa Basica
8	Sopa Maruchan Camaron	$17.00	Despensa Basica
9	Lentejas La Merced 500g	$34.00	Despensa Basica
10	Avena Quaker 500g	$35.00	Despensa Basica
11	Vinagre Clemente Jacques 500mL	$20.00	Despensa Basica
12	Canela Entera McCormick 30g	$29.00	Despensa Basica
13	Consome de Pollo Knorr 180g	$39.00	Despensa Basica
14	Chile Guajillo 100g	$35.00	Despensa Basica
15	Maicena 250g	$24.00	Despensa Basica
16	Cafe Nescafe Clasico 135g	$95.00	Despensa Basica
17	Te Lipton 25 sobres	$28.00	Despensa Basica
18	Fideo Corto La Moderna 200g	$11.00	Despensa Basica
19	Semola Tres Generaciones 400g	$26.00	Despensa Basica
20	Polvo para Hornear Royal 80g	$22.00	Despensa Basica
21	Leche Lala Entera 1L	$28.00	Lacteos y Huevo
22	Leche Alpura 1L	$27.00	Lacteos y Huevo
23	Huevo San Juan 1kg	$52.00	Lacteos y Huevo
24	Crema Lala 200mL	$21.00	Lacteos y Huevo
25	Queso Manchego Lala 400g	$98.00	Lacteos y Huevo
26	Yogurt Danone Natural 1kg	$49.00	Lacteos y Huevo
27	Mantequilla Lala 90g	$23.00	Lacteos y Huevo
28	Leche Condensada Nestle 397g	$30.00	Despensa Basica
29	Queso Panela Covadonga 400g	$76.00	Lacteos y Huevo
30	Leche Evaporada Carnation 360mL	$22.00	Despensa Basica
31	Yogurt Yoplait Fresa 150g	$12.00	Lacteos y Huevo
32	Crema Acida Sello Rojo 250mL	$24.00	Lacteos y Huevo
33	Jocoque Seco Lala 190g	$42.00	Lacteos y Huevo
34	Requeson Dos Pinos 250g	$38.00	Lacteos y Huevo
35	Leche de Coco Goya 400mL	$45.00	Despensa Basica
36	Coca Cola 600mL	$19.00	Bebidas y Liquidos
37	Pepsi 600mL	$17.00	Bebidas y Liquidos
38	Sprite 600mL	$17.00	Bebidas y Liquidos
39	Fanta Naranja 600mL	$17.00	Bebidas y Liquidos
40	Agua Bonafont 1L	$16.00	Bebidas y Liquidos
41	Agua Ciel 1.5L	$18.00	Bebidas y Liquidos
42	Jugo Del Valle Mango 1L	$26.00	Bebidas y Liquidos
43	Jugo Jumex Durazno 1L	$26.00	Bebidas y Liquidos
